,,LINK
,close,daily_return
time,,
2018-05-09,0.55,-0.0350877193
2018-05-10,0.54,-0.01818181818
2018-05-11,0.52,-0.03703703704
2018-05-12,0.47,-0.09615384615
2018-05-13,0.46,-0.02127659574
2018-05-14,0.5,0.08695652174
2018-05-15,0.52,0.04
2018-05-16,0.51,-0.01923076923
2018-05-17,0.48,-0.05882352941
2018-05-18,0.44,-0.08333333333
2018-05-19,0.45,0.02272727273
2018-05-20,0.45,0
2018-05-21,0.45,0
2018-05-22,0.42,-0.06666666667
2018-05-23,0.37,-0.119047619
2018-05-24,0.35,-0.05405405405
2018-05-25,0.36,0.02857142857
2018-05-26,0.34,-0.05555555556
2018-05-27,0.36,0.05882352941
2018-05-28,0.34,-0.05555555556
2018-05-29,0.32,-0.05882352941
2018-05-30,0.35,0.09375
2018-05-31,0.34,-0.02857142857
2018-06-01,0.34,0
2018-06-02,0.35,0.02941176471
2018-06-03,0.36,0.02857142857
2018-06-04,0.36,0
2018-06-05,0.34,-0.05555555556
2018-06-06,0.33,-0.02941176471
2018-06-07,0.33,0
2018-06-08,0.3,-0.09090909091
2018-06-09,0.29,-0.03333333333
2018-06-10,0.29,0
2018-06-11,0.24,-0.1724137931
2018-06-12,0.26,0.08333333333
2018-06-13,0.23,-0.1153846154
2018-06-14,0.22,-0.04347826087
2018-06-15,0.24,0.09090909091
2018-06-16,0.22,-0.08333333333
2018-06-17,0.22,0
2018-06-18,0.21,-0.04545454545
2018-06-19,0.21,0
2018-06-20,0.22,0.04761904762
2018-06-21,0.22,0
2018-06-22,0.21,-0.04545454545
2018-06-23,0.19,-0.09523809524
2018-06-24,0.19,0
2018-06-25,0.19,0
2018-06-26,0.18,-0.05263157895
2018-06-27,0.17,-0.05555555556
2018-06-28,0.17,0
2018-06-29,0.17,0
2018-06-30,0.18,0.05882352941
2018-07-01,0.22,0.2222222222
2018-07-02,0.22,0
2018-07-03,0.25,0.1363636364
2018-07-04,0.24,-0.04
2018-07-05,0.23,-0.04166666667
2018-07-06,0.22,-0.04347826087
2018-07-07,0.23,0.04545454545
2018-07-08,0.25,0.08695652174
2018-07-09,0.25,0
2018-07-10,0.23,-0.08
2018-07-11,0.21,-0.08695652174
2018-07-12,0.21,0
2018-07-13,0.2,-0.04761904762
2018-07-14,0.2,0
2018-07-15,0.19,-0.05
2018-07-16,0.2,0.05263157895
2018-07-17,0.22,0.1
2018-07-18,0.25,0.1363636364
2018-07-19,0.24,-0.04
2018-07-20,0.23,-0.04166666667
2018-07-21,0.22,-0.04347826087
2018-07-22,0.22,0
2018-07-23,0.2,-0.09090909091
2018-07-24,0.2,0
2018-07-25,0.2,0
2018-07-26,0.24,0.2
2018-07-27,0.25,0.04166666667
2018-07-28,0.27,0.08
2018-07-29,0.28,0.03703703704
2018-07-30,0.33,0.1785714286
2018-07-31,0.32,-0.0303030303
2018-08-01,0.29,-0.09375
2018-08-02,0.29,0
2018-08-03,0.31,0.06896551724
2018-08-04,0.29,-0.06451612903
2018-08-05,0.26,-0.1034482759
2018-08-06,0.25,-0.03846153846
2018-08-07,0.24,-0.04
2018-08-08,0.23,-0.04166666667
2018-08-09,0.23,0
2018-08-10,0.28,0.2173913043
2018-08-11,0.27,-0.03571428571
2018-08-12,0.27,0
2018-08-13,0.28,0.03703703704
2018-08-14,0.26,-0.07142857143
2018-08-15,0.27,0.03846153846
2018-08-16,0.26,-0.03703703704
2018-08-17,0.27,0.03846153846
2018-08-18,0.29,0.07407407407
2018-08-19,0.27,-0.06896551724
2018-08-20,0.3,0.1111111111
2018-08-21,0.29,-0.03333333333
2018-08-22,0.31,0.06896551724
2018-08-23,0.31,0
2018-08-24,0.32,0.03225806452
2018-08-25,0.34,0.0625
2018-08-26,0.32,-0.05882352941
2018-08-27,0.33,0.03125
2018-08-28,0.34,0.0303030303
2018-08-29,0.34,0
2018-08-30,0.31,-0.08823529412
2018-08-31,0.3,-0.03225806452
2018-09-01,0.33,0.1
2018-09-02,0.34,0.0303030303
2018-09-03,0.31,-0.08823529412
2018-09-04,0.3,-0.03225806452
2018-09-05,0.3,0
2018-09-06,0.27,-0.1
2018-09-07,0.27,0
2018-09-08,0.26,-0.03703703704
2018-09-09,0.24,-0.07692307692
2018-09-10,0.24,0
2018-09-11,0.25,0.04166666667
2018-09-12,0.26,0.04
2018-09-13,0.25,-0.03846153846
2018-09-14,0.27,0.08
2018-09-15,0.27,0
2018-09-16,0.27,0
2018-09-17,0.27,0
2018-09-18,0.27,0
2018-09-19,0.29,0.07407407407
2018-09-20,0.33,0.1379310345
2018-09-21,0.35,0.06060606061
2018-09-22,0.35,0
2018-09-23,0.34,-0.02857142857
2018-09-24,0.34,0
2018-09-25,0.33,-0.02941176471
2018-09-26,0.33,0
2018-09-27,0.35,0.06060606061
2018-09-28,0.35,0
2018-09-29,0.33,-0.05714285714
2018-09-30,0.33,0
2018-10-01,0.33,0
2018-10-02,0.33,0
2018-10-03,0.32,-0.0303030303
2018-10-04,0.31,-0.03125
2018-10-05,0.32,0.03225806452
2018-10-06,0.36,0.125
2018-10-07,0.34,-0.05555555556
2018-10-08,0.34,0
2018-10-09,0.34,0
2018-10-10,0.34,0
2018-10-11,0.35,0.02941176471
2018-10-12,0.31,-0.1142857143
2018-10-13,0.31,0
2018-10-14,0.32,0.03225806452
2018-10-15,0.33,0.03125
2018-10-16,0.34,0.0303030303
2018-10-17,0.36,0.05882352941
2018-10-18,0.38,0.05555555556
2018-10-19,0.38,0
2018-10-20,0.36,-0.05263157895
2018-10-21,0.37,0.02777777778
2018-10-22,0.37,0
2018-10-23,0.39,0.05405405405
2018-10-24,0.44,0.1282051282
2018-10-25,0.41,-0.06818181818
2018-10-26,0.44,0.07317073171
2018-10-27,0.43,-0.02272727273
2018-10-28,0.44,0.02325581395
2018-10-29,0.43,-0.02272727273
2018-10-30,0.41,-0.04651162791
2018-10-31,0.45,0.09756097561
2018-11-01,0.51,0.1333333333
2018-11-02,0.52,0.01960784314
2018-11-03,0.5,-0.03846153846
2018-11-04,0.54,0.08
2018-11-05,0.51,-0.05555555556
2018-11-06,0.48,-0.05882352941
2018-11-07,0.49,0.02083333333
2018-11-08,0.49,0
2018-11-09,0.5,0.02040816327
2018-11-10,0.49,-0.02
2018-11-11,0.52,0.0612244898
2018-11-12,0.5,-0.03846153846
2018-11-13,0.57,0.14
2018-11-14,0.59,0.0350877193
2018-11-15,0.55,-0.06779661017
2018-11-16,0.55,0
2018-11-17,0.52,-0.05454545455
2018-11-18,0.49,-0.05769230769
2018-11-19,0.52,0.0612244898
2018-11-20,0.43,-0.1730769231
2018-11-21,0.34,-0.2093023256
2018-11-22,0.37,0.08823529412
2018-11-23,0.34,-0.08108108108
2018-11-24,0.32,-0.05882352941
2018-11-25,0.29,-0.09375
2018-11-26,0.26,-0.1034482759
2018-11-27,0.29,0.1153846154
2018-11-28,0.29,0
2018-11-29,0.32,0.1034482759
2018-11-30,0.33,0.03125
2018-12-01,0.32,-0.0303030303
2018-12-02,0.32,0
2018-12-03,0.3,-0.0625
2018-12-04,0.28,-0.06666666667
2018-12-05,0.28,0
2018-12-06,0.26,-0.07142857143
2018-12-07,0.22,-0.1538461538
2018-12-08,0.22,0
2018-12-09,0.22,0
2018-12-10,0.24,0.09090909091
2018-12-11,0.22,-0.08333333333
2018-12-12,0.22,0
2018-12-13,0.22,0
2018-12-14,0.21,-0.04545454545
2018-12-15,0.21,0
2018-12-16,0.2,-0.04761904762
2018-12-17,0.21,0.05
2018-12-18,0.23,0.09523809524
2018-12-19,0.26,0.1304347826
