,,BTC
,close,daily_return
time,,
2013-09-29,140.28,0.0474128276
2013-09-30,131.65,-0.06151981751
2013-10-01,132.55,0.006836308393
2013-10-02,132.04,-0.003847604677
2013-10-03,123.07,-0.06793395941
2013-10-04,128.26,0.04217112213
2013-10-05,129.57,0.01021362857
2013-10-06,127.56,-0.0155128502
2013-10-07,128.38,0.006428347444
2013-10-08,125.72,-0.02071973828
2013-10-09,130.9,0.04120267261
2013-10-10,129.68,-0.009320091673
2013-10-11,130.27,0.004549660703
2013-10-12,135.35,0.03899593153
2013-10-13,135.48,0.0009604728482
2013-10-14,140.48,0.03690581636
2013-10-15,143.89,0.024273918
2013-10-16,143.61,-0.001945930919
2013-10-17,146.15,0.01768679061
2013-10-18,151.34,0.03551146083
2013-10-19,170.51,0.1266684287
2013-10-20,172.01,0.008797137998
2013-10-21,181.41,0.05464798558
2013-10-22,193.45,0.0663689984
2013-10-23,206.78,0.06890669424
2013-10-24,198.8,-0.03859174001
2013-10-25,172.48,-0.1323943662
2013-10-26,178.96,0.03756957328
2013-10-27,189.83,0.06073983013
2013-10-28,198.55,0.04593583733
2013-10-29,204.39,0.02941324603
2013-10-30,204.2,-0.0009295953814
2013-10-31,203.88,-0.001567091087
2013-11-01,205.26,0.006768687463
2013-11-02,206.89,0.007941147813
2013-11-03,212.45,0.02687418435
2013-11-04,226.28,0.06509767004
2013-11-05,230.63,0.0192239703
2013-11-06,260.85,0.1310323895
2013-11-07,295.63,0.1333333333
2013-11-08,332.02,0.1230930555
2013-11-09,358,0.0782482983
2013-11-10,313,-0.125698324
2013-11-11,340.55,0.08801916933
2013-11-12,355.48,0.04384084569
2013-11-13,404.17,0.1369697311
2013-11-14,408.84,0.01155454388
2013-11-15,424.16,0.03747187164
2013-11-16,437.41,0.031238212
2013-11-17,488.36,0.1164811047
2013-11-18,580.87,0.1894299287
2013-11-19,614.4,0.05772375919
2013-11-20,565.34,-0.07985026042
2013-11-21,675.06,0.1940779
2013-11-22,731.15,0.08308891062
2013-11-23,819.31,0.1205771729
2013-11-24,764.43,-0.06698319317
2013-11-25,793.07,0.03746582421
2013-11-26,832.93,0.05026038055
2013-11-27,914.13,0.0974871838
2013-11-28,979.08,0.0710511634
2013-11-29,1101.83,0.125372799
2013-11-30,1127.45,0.02325222584
2013-12-01,1033.39,-0.08342720298
2013-12-02,974.03,-0.05744201124
2013-12-03,1078.64,0.1073991561
2013-12-04,1121.48,0.03971668026
2013-12-05,989.04,-0.1180939473
2013-12-06,1019.66,0.03095931408
2013-12-07,811.98,-0.203675735
2013-12-08,743.11,-0.08481736003
2013-12-09,897.89,0.2082867947
2013-12-10,927.78,0.03328915569
2013-12-11,887.08,-0.0438681584
2013-12-12,878.17,-0.01004418993
2013-12-13,897.27,0.0217497751
2013-12-14,866.99,-0.03374680977
2013-12-15,854.62,-0.01426775395
2013-12-16,789.15,-0.07660714704
2013-12-17,691.65,-0.1235506558
2013-12-18,559.36,-0.1912672595
2013-12-19,677.84,0.2118135011
2013-12-20,694.25,0.02420925292
2013-12-21,596.12,-0.1413467771
2013-12-22,650.27,0.09083741529
2013-12-23,645.75,-0.006950958832
2013-12-24,659.94,0.02197444832
2013-12-25,668.74,0.01333454556
2013-12-26,734.59,0.09846876215
2013-12-27,734.27,-0.000435617147
2013-12-28,738.81,0.006183011699
2013-12-29,726.47,-0.01670253516
2013-12-30,760.52,0.0468704833
2013-12-31,755.16,-0.007047809394
2014-01-01,767.74,0.01665872133
2014-01-02,772.53,0.006239091359
2014-01-03,825.47,0.06852808305
2014-01-04,849.14,0.02867457327
2014-01-05,919.41,0.08275431613
2014-01-06,936.38,0.01845748904
2014-01-07,826.5,-0.1173455221
2014-01-08,838.32,0.01430127042
2014-01-09,853.29,0.01785714286
2014-01-10,863.3,0.01173106447
2014-01-11,905.72,0.04913703232
2014-01-12,867.45,-0.04225367663
