Date,Close
2017-10-30,8.02
2017-10-31,8.04
2017-11-01,8.06
2017-11-02,8.05
2017-11-03,8.06
2017-11-06,8.09
2017-11-08,8.07
2017-11-13,8.03
2017-11-14,8.01
2017-11-15,7.98
2017-11-21,8.12
2017-11-22,8.13
2017-11-24,8.15
2017-11-27,8.12
2017-11-28,8.18
2017-11-29,8.15
2017-12-01,8.16
2017-12-06,8.1
2017-12-08,8.17
2017-12-11,8.19
2017-12-13,8.2
2017-12-15,8.22
2017-12-18,8.27
2017-12-19,8.25
2017-12-21,8.28
2017-12-26,8.28
2017-12-27,8.3
2017-12-28,8.31
2017-12-29,8.3
2018-01-02,8.37
2018-01-03,8.41
2018-01-04,8.45
2018-01-05,8.51
2018-01-09,8.52
2018-01-11,8.58
2018-01-12,8.63
2018-01-16,8.61
2018-01-17,8.66
2018-01-18,8.65
2018-01-19,8.7
2018-01-22,8.76
2018-01-23,8.8
2018-01-24,8.82
2018-01-26,8.88
2018-01-29,8.82
2018-01-30,8.74
2018-02-02,8.56
2018-02-05,8.27
2018-02-06,8.38
2018-02-07,8.34
2018-02-08,8.09
2018-02-09,8.16
2018-02-12,8.25
2018-02-13,8.27
2018-02-14,8.39
2018-02-15,8.48
2018-02-20,8.44
2018-02-21,8.41
2018-02-23,8.51
2018-03-01,8.32
2018-03-02,8.35
2018-03-07,8.44
2018-03-08,8.46
2018-03-09,8.57
2018-03-12,8.58
2018-03-13,8.53
2018-03-20,8.43
2018-03-23,8.14
2018-03-26,8.31
2018-03-27,8.2
2018-03-28,8.19
2018-04-02,8.13
2018-04-03,8.21
2018-04-09,8.23
2018-04-13,8.33
2018-04-16,8.36
2018-04-17,8.42
2018-04-23,8.34
2018-05-02,8.28
2018-05-03,8.26
2018-05-09,8.4
2018-05-10,8.47
2018-05-11,8.49
2018-05-14,8.49
2018-05-15,8.44
2018-05-16,8.46
2018-05-18,8.45
2018-05-22,8.47
2018-05-25,8.42
2018-05-29,8.33
2018-05-30,8.41
