Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,51.369999,51.369999,51.369999,51.369999,50.447609,0
2020-10-30,50.750000,50.750000,50.750000,50.750000,49.838745,0
2020-11-02,51.380001,51.380001,51.380001,51.380001,50.457432,0
2020-11-03,52.290001,52.290001,52.290001,52.290001,51.351093,0
2020-11-04,53.450001,53.450001,53.450001,53.450001,52.490265,0
2020-11-05,54.500000,54.500000,54.500000,54.500000,53.521408,0
2020-11-06,54.480000,54.480000,54.480000,54.480000,53.501770,0
2020-11-09,55.130001,55.130001,55.130001,55.130001,54.140099,0
2020-11-10,55.060001,55.060001,55.060001,55.060001,54.071358,0
2020-11-11,55.480000,55.480000,55.480000,55.480000,54.483814,0
2020-11-12,54.939999,54.939999,54.939999,54.939999,53.953506,0
2020-11-13,55.700001,55.700001,55.700001,55.700001,54.699863,0
2020-11-16,56.340000,56.340000,56.340000,56.340000,55.328373,0
2020-11-17,56.080002,56.080002,56.080002,56.080002,55.073040,0
2020-11-18,55.439999,55.439999,55.439999,55.439999,54.444530,0
2020-11-19,55.669998,55.669998,55.669998,55.669998,54.670399,0
2020-11-20,55.290001,55.290001,55.290001,55.290001,54.297226,0
2020-11-23,55.610001,55.610001,55.610001,55.610001,54.611481,0
2020-11-24,56.509998,56.509998,56.509998,56.509998,55.495316,0
2020-11-25,56.419998,56.419998,56.419998,56.419998,55.406933,0
2020-11-27,56.560001,56.560001,56.560001,56.560001,55.544422,0
2020-11-30,56.310001,56.310001,56.310001,56.310001,55.298912,0
2020-12-01,56.939999,56.939999,56.939999,56.939999,55.917595,0
2020-12-02,57.049999,57.049999,57.049999,57.049999,56.025623,0
2020-12-03,57.029999,57.029999,57.029999,57.029999,56.005981,0
2020-12-04,57.529999,57.529999,57.529999,57.529999,56.497002,0
2020-12-07,57.419998,57.419998,57.419998,57.419998,56.388977,0
2020-12-08,57.580002,57.580002,57.580002,57.580002,56.546108,0
2020-12-09,57.130001,57.130001,57.130001,57.130001,56.104187,0
2020-12-10,57.060001,57.060001,57.060001,57.060001,56.035446,0
