Date,Close
2017-10-30,83.33
2017-10-31,83.42
2017-11-01,83.55
2017-11-02,83.57
2017-11-03,83.84
2017-11-06,83.95
2017-11-07,83.94
2017-11-08,84.07
2017-11-09,83.77
2017-11-10,83.72
2017-11-13,83.81
2017-11-14,83.63
2017-11-15,83.19
2017-11-16,83.89
2017-11-17,83.68
2017-11-20,83.79
2017-11-21,84.33
2017-11-22,84.28
2017-11-24,84.45
2017-11-27,84.44
2017-11-28,85.27
2017-11-29,85.25
2017-11-30,85.97
2017-12-01,85.81
2017-12-04,85.71
2017-12-05,85.4
2017-12-06,85.39
2017-12-07,85.66
2017-12-08,86.14
2017-12-11,86.42
2017-12-12,86.55
2017-12-13,86.52
2017-12-14,86.18
2017-12-15,86.95
2017-12-18,87.43
2017-12-19,87.15
2017-12-20,87.09
2017-12-21,87.26
2017-12-22,87.22
2017-12-26,87.13
2017-12-27,87.21
2017-12-28,87.38
2017-12-29,86.94
2018-01-02,87.66
2018-01-03,88.22
2018-01-04,88.59
2018-01-05,89.22
2018-01-08,89.36
2018-01-09,89.51
2018-01-10,89.41
2018-01-11,90.04
2018-01-12,90.66
2018-01-16,90.34
2018-01-17,91.19
2018-01-18,91.05
2018-01-19,91.45
2018-01-22,92.19
2018-01-23,92.4
2018-01-24,92.34
2018-01-26,93.49
2018-01-29,92.87
2018-01-30,91.87
2018-01-31,91.91
2018-02-02,89.92
2018-02-05,86.24
2018-02-06,87.75
2018-02-07,87.32
2018-02-08,84.05
2018-02-09,85.34
2018-02-12,86.53
2018-02-13,86.76
2018-02-14,87.94
2018-02-15,89.03
2018-02-16,89.07
2018-02-20,88.56
2018-02-21,88.07
2018-02-22,88.16
2018-02-23,89.58
2018-02-26,90.65
2018-02-27,89.5
2018-02-28,88.52
2018-03-01,87.35
2018-03-02,87.81
2018-03-05,88.78
2018-03-06,89.01
2018-03-07,88.97
2018-03-08,89.4
2018-03-09,90.96
2018-03-12,90.84
2018-03-13,90.27
2018-03-14,89.77
2018-03-15,89.71
2018-03-16,89.87
2018-03-20,88.72
2018-03-21,88.56
2018-03-22,86.34
2018-03-23,84.54
2018-03-26,86.82
2018-03-27,85.33
2018-03-28,85.09
2018-03-29,86.27
2018-04-02,84.34
2018-04-03,85.41
2018-04-04,86.41
2018-04-05,87.01
2018-04-06,85.09
2018-04-09,85.4
2018-04-10,86.83
2018-04-11,86.36
2018-04-12,87.09
2018-04-16,87.54
2018-04-17,88.47
2018-04-18,88.55
2018-04-19,88.05
2018-04-20,87.3
2018-04-23,87.31
2018-04-24,86.14
2018-04-25,86.3
2018-04-26,87.2
2018-04-30,86.59
2018-05-01,86.82
2018-05-02,86.19
2018-05-03,86.0
2018-05-04,87.12
2018-05-07,87.42
2018-05-08,87.4
2018-05-09,88.26
2018-05-10,89.11
2018-05-11,89.28
2018-05-14,89.37
2018-05-15,88.76
2018-05-16,89.14
2018-05-17,89.1
2018-05-18,88.87
2018-05-21,89.53
2018-05-22,89.25
2018-05-23,89.54
2018-05-24,89.36
2018-05-25,89.16
2018-05-29,88.13
2018-05-30,89.27
2018-05-31,88.68
2018-06-01,89.65
