,,BTC
,close,daily_return
time,,
2013-10-31,203.88,-0.001567091
2013-11-01,205.26,0.006768687
2013-11-02,206.89,0.007941148
2013-11-03,212.45,0.026874184
2013-11-04,226.28,0.06509767
2013-11-05,230.63,0.01922397
2013-11-06,260.85,0.13103239
2013-11-07,295.63,0.133333333
2013-11-08,332.02,0.123093056
2013-11-09,358,0.078248298
2013-11-10,313,-0.125698324
2013-11-11,340.55,0.088019169
2013-11-12,355.48,0.043840846
2013-11-13,404.17,0.136969731
2013-11-14,408.84,0.011554544
2013-11-15,424.16,0.037471872
2013-11-16,437.41,0.031238212
2013-11-17,488.36,0.116481105
2013-11-18,580.87,0.189429929
2013-11-19,614.4,0.057723759
2013-11-20,565.34,-0.07985026
2013-11-21,675.06,0.1940779
2013-11-22,731.15,0.083088911
2013-11-23,819.31,0.120577173
2013-11-24,764.43,-0.066983193
2013-11-25,793.07,0.037465824
2013-11-26,832.93,0.050260381
2013-11-27,914.13,0.097487184
2013-11-28,979.08,0.071051163
2013-11-29,1101.83,0.125372799
2013-11-30,1127.45,0.023252226
2013-12-01,1033.39,-0.083427203
2013-12-02,974.03,-0.057442011
2013-12-03,1078.64,0.107399156
2013-12-04,1121.48,0.03971668
2013-12-05,989.04,-0.118093947
2013-12-06,1019.66,0.030959314
2013-12-07,811.98,-0.203675735
2013-12-08,743.11,-0.08481736
2013-12-09,897.89,0.208286795
2013-12-10,927.78,0.033289156
2013-12-11,887.08,-0.043868158
2013-12-12,878.17,-0.01004419
2013-12-13,897.27,0.021749775
2013-12-14,866.99,-0.03374681
2013-12-15,854.62,-0.014267754
2013-12-16,789.15,-0.076607147
2013-12-17,691.65,-0.123550656
2013-12-18,559.36,-0.191267259
2013-12-19,677.84,0.211813501
2013-12-20,694.25,0.024209253
2013-12-21,596.12,-0.141346777
2013-12-22,650.27,0.090837415
2013-12-23,645.75,-0.006950959
2013-12-24,659.94,0.021974448
2013-12-25,668.74,0.013334546
2013-12-26,734.59,0.098468762
2013-12-27,734.27,-0.000435617
2013-12-28,738.81,0.006183012
2013-12-29,726.47,-0.016702535
2013-12-30,760.52,0.046870483
2013-12-31,755.16,-0.007047809
2014-01-01,767.74,0.016658721
2014-01-02,772.53,0.006239091
2014-01-03,825.47,0.068528083
2014-01-04,849.14,0.028674573
2014-01-05,919.41,0.082754316
2014-01-06,936.38,0.018457489
2014-01-07,826.5,-0.117345522
2014-01-08,838.32,0.01430127
2014-01-09,853.29,0.017857143
2014-01-10,863.3,0.011731064
2014-01-11,905.72,0.049137032
2014-01-12,867.45,-0.042253677
2014-01-13,840.96,-0.030537783
2014-01-14,838.05,-0.003460331
2014-01-15,860.44,0.026716783
2014-01-16,837.98,-0.026102924
2014-01-17,812.9,-0.029929115
2014-01-18,840,0.033337434
2014-01-19,838.17,-0.002178571
2014-01-20,869.15,0.036961476
2014-01-21,869.57,0.000483231
2014-01-22,865.03,-0.005220971
2014-01-23,846.97,-0.020877889
2014-01-24,808.32,-0.045633257
2014-01-25,804.39,-0.004861936
2014-01-26,853.51,0.061064906
2014-01-27,891.86,0.044932104
2014-01-28,777,-0.128787029
2014-01-29,816.85,0.051287001
2014-01-30,817.17,0.000391749
2014-01-31,817.93,0.000930039
2014-02-01,832.52,0.017837712
2014-02-02,836.41,0.00467256
2014-02-03,813.38,-0.027534343
2014-02-04,832.36,0.023334727
2014-02-05,830.92,-0.001730021
2014-02-06,805.08,-0.03109806
2014-02-07,721.32,-0.10403935
2014-02-08,701.61,-0.027324904
2014-02-09,672.07,-0.042103163
2014-02-10,689.65,0.026157989
2014-02-11,697.76,0.011759588
2014-02-12,655.26,-0.060909195
2014-02-13,651.91,-0.005112474
2014-02-14,623.57,-0.043472258
2014-02-15,644.1,0.032923329
2014-02-16,613.85,-0.046964757
2014-02-17,645.14,0.050973365
2014-02-18,625.01,-0.03120253
2014-02-19,620.99,-0.006431897
2014-02-20,593.89,-0.043639994
2014-02-21,582.75,-0.018757682
2014-02-22,571.06,-0.02006006
2014-02-23,622.97,0.090901131
2014-02-24,572.39,-0.081191711
2014-02-25,489.31,-0.145145792
2014-02-26,567.25,0.159285525
2014-02-27,586.28,0.033547818
2014-02-28,567.2,-0.032544177
2014-03-01,560.11,-0.0125
2014-03-02,561.35,0.002213851
2014-03-03,585.79,0.0435379
2014-03-04,675,0.15229007
2014-03-05,658.24,-0.02482963
2014-03-06,654.55,-0.005605858
2014-03-07,617.62,-0.056420442
2014-03-08,610.37,-0.01173861
2014-03-09,636.17,0.042269443
2014-03-10,621.17,-0.023578603
2014-03-11,624.23,0.004926188
2014-03-12,638.07,0.022171315
2014-03-13,639.03,0.001504537
2014-03-14,629.67,-0.0146472
2014-03-15,638.07,0.013340321
2014-03-16,629.55,-0.013352767
2014-03-17,623.71,-0.009276467
2014-03-18,612.62,-0.017780699
2014-03-19,610.64,-0.00323202
2014-03-20,592.07,-0.030410717
2014-03-21,582.3,-0.016501427
2014-03-22,561.22,-0.036201271
2014-03-23,567.78,0.011688821
2014-03-24,571.42,0.006410934
2014-03-25,582.55,0.019477792
2014-03-26,584.44,0.003244357
2014-03-27,567.64,-0.028745466
2014-03-28,503.66,-0.112712282
2014-03-29,502.3,-0.002700234
2014-03-30,469.94,-0.064423651
2014-03-31,457.4,-0.026684258
2014-04-01,478.72,0.046611281
2014-04-02,437.52,-0.086062834
2014-04-03,447.08,0.02185043
2014-04-04,448.88,0.004026125
2014-04-05,464.83,0.035532882
2014-04-06,460.7,-0.008884969
2014-04-07,457.79,-0.006316475
2014-04-08,450.46,-0.016011708
2014-04-09,440.2,-0.022776717
2014-04-10,360.84,-0.18028169
2014-04-11,420.06,0.16411706
2014-04-12,420.66,0.001428367
2014-04-13,414.95,-0.013573908
2014-04-14,457.63,0.102855766
2014-04-15,520.12,0.136551362
2014-04-16,529.16,0.017380604
2014-04-17,494.4,-0.065689017
2014-04-18,478.23,-0.032706311
2014-04-19,501.55,0.048763147
2014-04-20,497.32,-0.008433855
2014-04-21,492.67,-0.009350117
2014-04-22,484.85,-0.015872694
2014-04-23,487.52,0.005506858
2014-04-24,494.27,0.013845586
2014-04-25,458.81,-0.071742165
2014-04-26,453.8,-0.010919553
2014-04-27,437.92,-0.034993389
2014-04-28,436.92,-0.002283522
