,,XRP
,close,daily_return
time,,
2015-09-02,0.01,0
2015-09-03,0.01,0
2015-09-04,0.01,0
2015-09-05,0.01,0
2015-09-06,0.01,0
2015-09-07,0.01,0
2015-09-08,0.01,0
2015-09-09,0.01,0
2015-09-10,0.01,0
2015-09-11,0.01,0
2015-09-12,0.01,0
2015-09-13,0.01,0
2015-09-14,0.01,0
2015-09-15,0.01,0
2015-09-16,0.01,0
2015-09-17,0.01,0
2015-09-18,0.01,0
2015-09-19,0.01,0
2015-09-20,0.01,0
2015-09-21,0.01,0
2015-09-22,0.01,0
2015-09-23,0.01,0
2015-09-24,0.01,0
2015-09-25,0.01,0
2015-09-26,0.01,0
2015-09-27,0.01,0
2015-09-28,0.01,0
2015-09-29,0.01,0
2015-09-30,0.01,0
2015-10-01,0.01,0
2015-10-02,0.01,0
2015-10-03,0.01,0
2015-10-04,0.01,0
2015-10-05,0.01,0
2015-10-06,0.01,0
2015-10-07,0.01,0
2015-10-08,0.01,0
2015-10-09,0.01,0
2015-10-10,0.01,0
2015-10-11,0.01,0
2015-10-12,0.01,0
2015-10-13,0.01,0
2015-10-14,0.01,0
2015-10-15,0.01,0
2015-10-16,0.01,0
2015-10-17,0.01,0
2015-10-18,0,-1
2015-10-20,0,-1
2015-11-03,0.01,0
2015-11-04,0,-1
2015-12-06,0.01,0
2015-12-07,0.01,0
2015-12-08,0.01,0
2015-12-09,0.01,0
2015-12-10,0.01,0
2015-12-11,0.01,0
2015-12-12,0.01,0
2015-12-13,0.01,0
2015-12-14,0.01,0
2015-12-15,0.01,0
2015-12-16,0.01,0
2015-12-17,0.01,0
2015-12-18,0.01,0
2015-12-19,0.01,0
2015-12-20,0.01,0
2015-12-21,0.01,0
2015-12-22,0.01,0
2015-12-23,0.01,0
2015-12-24,0.01,0
2015-12-25,0.01,0
2015-12-26,0.01,0
2015-12-27,0.01,0
2015-12-28,0.01,0
2015-12-29,0.01,0
2015-12-30,0.01,0
2015-12-31,0.01,0
2016-01-01,0.01,0
2016-01-02,0.01,0
2016-01-03,0.01,0
2016-01-04,0.01,0
2016-01-05,0.01,0
2016-01-06,0.01,0
