,,LTC
Date,close,daily_return
4/11/2021,253.63,-0.007784993
4/12/2021,244.49,-0.036036746
4/13/2021,266.98,0.091987402
4/14/2021,279.75,0.047831298
4/15/2021,286.59,0.024450402
4/16/2021,310.61,0.083813113
4/17/2021,304.76,-0.018833907
4/18/2021,273.1,-0.103885024
4/19/2021,261.92,-0.040937386
4/20/2021,260.94,-0.0037416
4/21/2021,258.81,-0.008162796
4/22/2021,253.08,-0.022139794
4/23/2021,241.36,-0.046309467
4/24/2021,224.84,-0.068445476
4/25/2021,223.63,-0.005381605
4/26/2021,247.41,0.106336359
4/27/2021,259.65,0.049472535
4/28/2021,258.51,-0.004390526
4/29/2021,255.59,-0.011295501
4/30/2021,271.17,0.060957001
5/1/2021,276.83,0.020872515
5/2/2021,269.1,-0.027923274
5/3/2021,294.7,0.095131921
5/4/2021,306.23,0.039124533
5/5/2021,356.04,0.16265552
5/6/2021,353.51,-0.007105943
5/7/2021,346.25,-0.020536901
5/8/2021,346.37,0.00034657
5/9/2021,386.45,0.115714409
5/10/2021,359.33,-0.070177254
5/11/2021,377.39,0.050260206
5/12/2021,303.08,-0.196905058
5/13/2021,316.91,0.045631516
5/14/2021,326.23,0.02940898
5/15/2021,299.77,-0.08110842
5/16/2021,296.63,-0.010474697
5/17/2021,281.77,-0.050096079
5/18/2021,294.62,0.045604571
5/19/2021,189.52,-0.356730704
5/20/2021,212.28,0.120092866
5/21/2021,180.2,-0.151121161
5/22/2021,169.59,-0.058879023
5/23/2021,143.52,-0.153723687
5/24/2021,183.99,0.281981605
5/25/2021,183.5,-0.002663188
5/26/2021,199.22,0.085667575
5/27/2021,193.12,-0.030619416
5/28/2021,177.32,-0.081814416
5/29/2021,163.81,-0.076189939
5/30/2021,170.98,0.043770222
5/31/2021,188.03,0.099719265
6/1/2021,182.98,-0.026857416
6/2/2021,187.26,0.023390534
6/3/2021,193.09,0.031133184
6/4/2021,178.87,-0.073644415
6/5/2021,173.03,-0.03264941
6/6/2021,176.64,0.020863434
6/7/2021,161.73,-0.084408967
6/8/2021,161.16,-0.003524393
6/9/2021,172.14,0.06813105
6/10/2021,168.2,-0.022888347
6/11/2021,162.88,-0.031629013
6/12/2021,162.01,-0.005341356
6/13/2021,170.93,0.05505833
6/14/2021,172.95,0.011817703
6/15/2021,178.66,0.033015322
6/16/2021,166.46,-0.06828613
6/17/2021,167.06,0.00360447
6/18/2021,156.36,-0.064048845
6/19/2021,153.3,-0.019570223
6/20/2021,155.09,0.011676451
6/21/2021,124.79,-0.19537043
6/22/2021,119.6,-0.041589871
6/23/2021,128.67,0.07583612
6/24/2021,134.48,0.045154271
6/25/2021,125.69,-0.065362879
6/26/2021,126.66,0.0077174
6/27/2021,132.35,0.044923417
6/28/2021,137.37,0.037929732
6/29/2021,143.7,0.04607993
6/30/2021,144.14,0.003061935
7/1/2021,137.58,-0.045511308
7/2/2021,136.94,-0.004651839
7/3/2021,140.28,0.024390244
7/4/2021,144.91,0.033005418
7/5/2021,138.07,-0.047201711
7/6/2021,138.99,0.006663287
7/7/2021,137.37,-0.011655515
7/8/2021,132.31,-0.036834826
7/9/2021,134.57,0.017081097
7/10/2021,133.99,-0.004310025
7/11/2021,134.25,0.001940443
7/12/2021,133.54,-0.005288641
7/13/2021,131.32,-0.016624232
7/14/2021,131.06,-0.001979896
7/15/2021,125.49,-0.042499618
7/16/2021,121.04,-0.035460993
7/17/2021,120.03,-0.008344349
7/18/2021,119.51,-0.00433225
7/19/2021,113.16,-0.053133629
7/20/2021,107.4,-0.050901379
7/21/2021,117.46,0.093668529
7/22/2021,120.74,0.0279244
7/23/2021,124.25,0.02907073
7/24/2021,126.19,0.015613682
7/25/2021,127.6,0.011173627
7/26/2021,131.36,0.029467085
7/27/2021,134.62,0.024817296
7/28/2021,139.84,0.038775813
7/29/2021,141.32,0.010583524
7/30/2021,145.78,0.031559581
7/31/2021,144.93,-0.005830704
8/1/2021,140.74,-0.028910509
8/2/2021,141.51,0.005471081
8/3/2021,138.29,-0.022754576
8/4/2021,142.62,0.031311013
8/5/2021,143.44,0.005749544
8/6/2021,147.8,0.030395984
8/7/2021,155.86,0.054533153
8/8/2021,149.85,-0.038560246
8/9/2021,166.52,0.111244578
8/10/2021,165.46,-0.006365602
8/11/2021,170.94,0.033119787
8/12/2021,165.13,-0.033988534
8/13/2021,183.29,0.10997396
8/14/2021,182.71,-0.003164384
8/15/2021,184.9,0.011986208
8/16/2021,178.85,-0.032720389
8/17/2021,168.84,-0.055968689
8/18/2021,167.4,-0.008528785
8/19/2021,175.49,0.04832736
8/20/2021,183.63,0.046384409
8/21/2021,179.74,-0.021183902
8/22/2021,186.31,0.036552798
8/23/2021,187.11,0.004293919
8/24/2021,173.58,-0.072310406
8/25/2021,177.6,0.02315935
8/26/2021,168.09,-0.053547297
8/27/2021,175.98,0.04693914
8/28/2021,175.45,-0.003011706
8/29/2021,174.7,-0.004274722
8/30/2021,167.42,-0.041671437
8/31/2021,171.66,0.025325529
9/1/2021,180.97,0.054235116
9/2/2021,183.62,0.014643311
9/3/2021,212.97,0.159840976
9/4/2021,212.36,-0.002864253
9/5/2021,231.33,0.089329441
9/6/2021,219.53,-0.051009381
9/7/2021,178.11,-0.188675807
9/8/2021,179.72,0.009039358
9/9/2021,180.38,0.003672379
9/10/2021,174.3,-0.033706619
9/11/2021,178.69,0.02518646
9/12/2021,183.23,0.02540713
9/13/2021,179.48,-0.020466081
9/14/2021,183.14,0.020392244
9/15/2021,189.24,0.033307852
9/16/2021,185.54,-0.019551892
9/17/2021,179.68,-0.031583486
9/18/2021,181.31,0.009071683
9/19/2021,175.74,-0.030720865
9/20/2021,156.46,-0.109707522
9/21/2021,148.39,-0.051578678
9/22/2021,161.41,0.087741762
9/23/2021,163.82,0.014930921
9/24/2021,152.23,-0.070748382
9/25/2021,151.18,-0.006897458
9/26/2021,150.64,-0.003571901
9/27/2021,145.35,-0.035116835
9/28/2021,140.6,-0.032679739
9/29/2021,144.92,0.030725462
9/30/2021,153.15,0.056789953
10/1/2021,166.13,0.08475351
10/2/2021,169.26,0.018840667
10/3/2021,170.61,0.007975895
10/4/2021,167.54,-0.017994256
10/5/2021,173.89,0.037901397
10/6/2021,178.71,0.027718673
10/7/2021,178.77,0.000335739
10/8/2021,175.97,-0.015662583
10/9/2021,179.66,0.020969483
10/10/2021,175.32,-0.024156741
10/11/2021,179.43,0.023442847
10/12/2021,172.8,-0.036950343
10/13/2021,177.63,0.027951389
10/14/2021,180.12,0.014017902
10/15/2021,188.81,0.048245614
10/16/2021,186.19,-0.013876384
10/17/2021,183.73,-0.01321231
10/18/2021,185.56,0.009960268
10/19/2021,188.94,0.018215133
10/20/2021,206.87,0.094897851
10/21/2021,196.87,-0.048339537
10/22/2021,190.82,-0.030730939
10/23/2021,196.31,0.028770569
10/24/2021,190.91,-0.027507514
10/25/2021,195.3,0.022995129
10/26/2021,197.47,0.011111111
10/27/2021,179.33,-0.091862055
10/28/2021,189.98,0.059387721
10/29/2021,196.34,0.033477208
10/30/2021,190.48,-0.029846185
