,,MKR
Date,close,daily_return
4/5/2021,2328.59,0.008912401
4/6/2021,2295.12,-0.014373505
4/7/2021,2103.18,-0.083629614
4/8/2021,2201.72,0.046852861
4/9/2021,2224.55,0.010369166
4/10/2021,2231.51,0.003128723
4/11/2021,2277.49,0.020604882
4/12/2021,2657.88,0.16702159
4/13/2021,2574.44,-0.031393441
4/14/2021,2682.37,0.04192368
4/15/2021,3770.8,0.405771762
4/16/2021,3381.33,-0.103285775
4/17/2021,3341.22,-0.011862196
4/18/2021,3233.73,-0.032170884
4/19/2021,3520.08,0.088550992
4/20/2021,3452.38,-0.019232517
4/21/2021,4020.19,0.164469149
4/22/2021,4034.26,0.003499835
4/23/2021,4079.54,0.011223868
4/24/2021,4009.41,-0.017190664
4/25/2021,3825.86,-0.045779803
4/26/2021,4020.17,0.050788581
4/27/2021,4520.3,0.124405187
4/28/2021,4406.94,-0.025077982
4/29/2021,4259.75,-0.033399592
4/30/2021,4355.27,0.022423851
5/1/2021,4777.09,0.096852778
5/2/2021,4902.87,0.026329837
5/3/2021,6012.46,0.226314383
5/4/2021,5251.64,-0.126540551
5/5/2021,5411.55,0.030449536
5/6/2021,5049.03,-0.066990049
5/7/2021,5081.07,0.006345773
5/8/2021,5607.19,0.103545119
5/9/2021,5282.58,-0.057891743
5/10/2021,4993.97,-0.054634289
5/11/2021,5378.7,0.077038909
5/12/2021,4870.02,-0.094573038
5/13/2021,4764.65,-0.021636461
5/14/2021,5009.06,0.051296528
5/15/2021,4601.49,-0.081366564
5/16/2021,4548.46,-0.011524528
5/17/2021,4249.34,-0.065762918
5/18/2021,4657.82,0.096127869
5/19/2021,3510.68,-0.246282596
5/20/2021,3956.25,0.126918432
5/21/2021,3116.38,-0.212289415
5/22/2021,2767.62,-0.111911898
5/23/2021,2736.42,-0.011273224
5/24/2021,4176.24,0.526169228
5/25/2021,3865.09,-0.074504818
5/26/2021,3973.24,0.027981237
5/27/2021,3704.65,-0.067599742
5/28/2021,3250.11,-0.122694452
5/29/2021,3059.17,-0.058748781
5/30/2021,3309.95,0.081976484
5/31/2021,3592.3,0.085303403
6/1/2021,3597.72,0.001508783
6/2/2021,3560.78,-0.010267614
6/3/2021,3656.25,0.026811541
6/4/2021,3729.45,0.020020513
6/5/2021,3560.81,-0.045218464
6/6/2021,3617.61,0.015951427
6/7/2021,3301.1,-0.087491465
6/8/2021,3251.08,-0.015152525
6/9/2021,3324.82,0.022681693
6/10/2021,3116.09,-0.062779338
6/11/2021,2920.7,-0.06270358
6/12/2021,2937.65,0.005803403
6/13/2021,3147.63,0.071478903
6/14/2021,3190.8,0.013715081
6/15/2021,3223.14,0.010135389
6/16/2021,2944.64,-0.086406424
6/17/2021,2912.53,-0.010904559
6/18/2021,2686.8,-0.077503064
6/19/2021,2596.77,-0.033508263
6/20/2021,2707.93,0.042807026
6/21/2021,2102.01,-0.22375763
6/22/2021,2261.65,0.075946356
6/23/2021,2361.18,0.044007693
6/24/2021,2235.19,-0.053358914
6/25/2021,1974.73,-0.116527007
6/26/2021,2005.61,0.015637581
6/27/2021,2130.05,0.062045961
6/28/2021,2213.49,0.039172789
6/29/2021,2410.92,0.089193988
6/30/2021,2668.58,0.106872065
7/1/2021,2508.45,-0.060005696
7/2/2021,2580.66,0.028786701
7/3/2021,2635.03,0.021068254
7/4/2021,2798.52,0.062044834
7/5/2021,2750.07,-0.017312722
7/6/2021,2747.3,-0.001007247
7/7/2021,2856.12,0.039609799
7/8/2021,2661.63,-0.068095878
7/9/2021,2701.4,0.014941972
7/10/2021,2667.52,-0.012541645
7/11/2021,2667.41,-4.12E-05
7/12/2021,2608.42,-0.022115085
7/13/2021,2523.9,-0.032402757
7/14/2021,2515.1,-0.003486667
7/15/2021,2560.9,0.018210012
7/16/2021,2424.09,-0.053422625
7/17/2021,2424.45,0.000148509
7/18/2021,2471.35,0.019344594
7/19/2021,2283.06,-0.076189127
7/20/2021,2190.36,-0.040603401
7/21/2021,2434.08,0.11126938
7/22/2021,2438.97,0.002008973
7/23/2021,2514.4,0.03092699
7/24/2021,2577.71,0.025178969
7/25/2021,2568.89,-0.003421642
7/26/2021,2603.85,0.013608991
7/27/2021,2685.88,0.031503351
7/28/2021,2653.45,-0.012074255
7/29/2021,2895.59,0.091254782
7/30/2021,2917.43,0.007542504
7/31/2021,2987.26,0.02393545
8/1/2021,2921.9,-0.021879582
8/2/2021,2922.26,0.000123208
8/3/2021,2779.85,-0.04873283
8/4/2021,2970.52,0.068590032
8/5/2021,3278.27,0.10360139
8/6/2021,3250.06,-0.008605148
8/7/2021,3400.42,0.046263761
8/8/2021,3232.09,-0.049502708
8/9/2021,3366.4,0.041555155
8/10/2021,3396.09,0.00881951
8/11/2021,3370.39,-0.007567526
8/12/2021,3247.58,-0.03643792
8/13/2021,3708.35,0.141881031
8/14/2021,3868.42,0.04316475
8/15/2021,3805.48,-0.016270209
8/16/2021,3587.99,-0.057151792
8/17/2021,3453.95,-0.037357964
8/18/2021,3524.51,0.020428784
8/19/2021,3740.34,0.061236881
8/20/2021,3813.08,0.01944743
8/21/2021,3870.4,0.015032467
8/22/2021,3813.73,-0.014641897
8/23/2021,3876.78,0.016532371
8/24/2021,3633,-0.062882083
8/25/2021,3695.25,0.0171346
8/26/2021,3591.64,-0.028038698
8/27/2021,3746.96,0.043244869
8/28/2021,3608.77,-0.036880565
8/29/2021,3456.22,-0.042272021
8/30/2021,3355,-0.02928633
8/31/2021,3525.93,0.050947839
9/1/2021,3694.88,0.047916436
9/2/2021,3553.3,-0.038317889
9/3/2021,3646.68,0.026279796
9/4/2021,3550.29,-0.026432262
9/5/2021,3720.98,0.048077763
9/6/2021,3622.33,-0.026511833
9/7/2021,3048.94,-0.158293143
9/8/2021,3016.73,-0.010564327
9/9/2021,2938.11,-0.026061331
9/10/2021,2780.36,-0.053690978
9/11/2021,2843.38,0.02266613
9/12/2021,2876.46,0.011634041
9/13/2021,2809.29,-0.02335162
9/14/2021,2923.86,0.040782546
9/15/2021,3069.03,0.04965012
9/16/2021,2970.84,-0.031993822
9/17/2021,2787.79,-0.06161557
9/18/2021,2841.41,0.019233873
9/19/2021,2768.09,-0.02580409
9/20/2021,2418.97,-0.126123067
9/21/2021,2287.37,-0.05440332
9/22/2021,2530.33,0.106218058
9/23/2021,2489.77,-0.01602953
9/24/2021,2295.26,-0.078123682
9/25/2021,2265.18,-0.013105269
9/26/2021,2346.11,0.035727845
9/27/2021,2248.05,-0.041796847
9/28/2021,2225.2,-0.010164365
9/29/2021,2227.24,0.000916772
9/30/2021,2282.43,0.024779548
10/1/2021,2441.05,0.069496107
10/2/2021,2485.14,0.0180619
10/3/2021,2542.17,0.022948405
10/4/2021,2535.3,-0.002702416
10/5/2021,2544.34,0.003565653
10/6/2021,2491.79,-0.020653686
10/7/2021,2500,0.00329482
10/8/2021,2497.71,-0.000916
10/9/2021,2571.65,0.029603116
10/10/2021,2464.98,-0.041479206
10/11/2021,2449.78,-0.006166379
10/12/2021,2442.03,-0.003163549
10/13/2021,2492.38,0.020618092
10/14/2021,2539.5,0.018905624
10/15/2021,2564.86,0.009986218
10/16/2021,2594.5,0.011556186
10/17/2021,2550.84,-0.016827905
10/18/2021,2507.49,-0.016994402
10/19/2021,2494.57,-0.005152563
10/20/2021,2593.23,0.039549902
10/21/2021,2570.63,-0.008715
10/22/2021,2519.69,-0.019816154
10/23/2021,2527.55,0.003119431
10/24/2021,2440.21,-0.034555202
10/25/2021,2474.1,0.013888149
10/26/2021,2461.95,-0.004910877
10/27/2021,2227.94,-0.095050671
10/28/2021,2382.42,0.069337594
10/29/2021,2450.87,0.02873129
10/30/2021,2377.42,-0.02996895
